fewrf,00,0:00,na,0,na
fewrf,06,0:00,na,0,na
fewrf,12,0:00,na,0,na
fewrf,18,0:00,na,0,na
wrf4nssl,00,1:31,0_min,100,Arrived@23:48
wrf4nssl,12,0:30,-4_min,10,10:34
conusarw,00,0:00,1245_min,0,23:15
conusarw,12,1:31,0_min,100,Arrived@10:15
conusnmmb,00,0:00,1250_min,0,23:18
conusnmmb,12,1:23,0_min,100,Arrived@10:15
nam04,00,0:00,1256_min,0,02:44
nam04,06,0:00,na,0,na
nam04,12,1:12,0_min,100,Arrived@10:08
nam04,18,0:00,na,0,na
nam,00,1:06,1_min,100,Arrived@21:42
nam,06,1:05,0_min,100,Arrived@03:42
nam,12,1:13,0_min,100,Arrived@09:53
nam,18,1:12,na,0,15:52
gfs,00,1:41,2_min,100,Arrived@00:08
gfs,06,1:28,1_min,100,Arrived@05:52
gfs,12,2:02,na,0,12:31
gfs,18,1:27,na,0,17:52
ecmwf,00,1:00,0_min,100,Arrived@02:45
ecmwf,12,1:00,na,0,14:00
ukmet,00,0:00,8_min,0,00:28
ukmet,12,0:00,na,0,na
gcmc,00,4:20,0_min,100,Arrived@03:02
gcmc,06,0:00,na,0,na
gcmc,12,0:00,na,0,na
gcmc,18,0:00,na,0,na
rcmc,00,2:46,0_min,100,Arrived@23:52
rcmc,06,1:32,0_min,100,Arrived@05:07
rcmc,12,1:30,1_min,45,11:05
rcmc,18,1:22,na,0,17:18
sref,03,1:44,2_min,100,Arrived@02:03
sref,09,2:11,1_min,100,Arrived@08:31
sref,15,1:59,na,0,14:30
sref,21,1:31,0_min,100,Arrived@20:31
gefs,00,3:33,1399_min,100,Arrived@04:04
gefs,12,4:08,na,0,15:52
naefs,00,0:04,12_min,100,Arrived@00:44
naefs,12,0:15,na,0,12:52
