YMD,HHNN,STN,ID,LAT,LON,TMPF,SUSMPH,GUSTMPH,PKWNDMPH,MAXMPH,DWPF,'RAWOB'
20180104,1600,CAHR,HARRINGTON_CDA_CS,46.35,-63.17,33,20,29,33,33,29,'CAHR 041600Z AUTO 11017G25KT 01/M02 RMK AO1 PRESFR SOG 06 8069 PK WND 12029/1546 SLP137 T00051015 50002'
20180104,1600,CTCK,MOOSE_CREEK,45.25,-74.97,15,2,,,,11,'CTCK 041600Z AUTO 04002KT M10/M11 RMK AO1 SOG 27 6019 SLP104 T10971114'
20180104,1600,CWAF,ILE_ROUGE(MAPS),48.08,-69.55,19,10,,,,16,'CWAF 041600Z AUTO 06009KT M07/M09 RMK AO1 T10721091'
20180104,1600,CWAJ,ERIEAU_(MAPS),42.25,-81.90,,,,,,-9999,'CWAJ 041600Z AUTO RMK AO1'
20180104,1600,CWBA,BARRAGE_TEMISCAMINGUE,46.71,-79.10,-7,15,23,23,23,-11,'CWBA 041600Z AUTO 34013G20KT M22/M24 RMK AO1 SOG 26 PK WND 35020/1552 T12161237'
20180104,1600,CWBE,KILLARNEY_(MAPS),45.97,-81.48,-8,13,20,23,23,-20,'CWBE 041600Z AUTO 36011G17KT M22/M29 RMK AO1 PK WND 02020/1546 SLP226 T12231287 50001'
20180104,1600,CWBS,LAC_ST_PIERRE,46.18,-72.92,17,14,,,,14,'CWBS 041600Z AUTO 04012KT M08/M10 RMK AO1 T10811099'
20180104,1600,CWBT,LONGUE_PT_DE_MONGUE,50.27,-64.23,18,8,,,,17,'CWBT 041600Z AUTO 06007KT M08/M08 RMK AO1 4PAST HR 8036 SLP209 P0005 T10761084 50024'
20180104,1600,CWBY,PORT_MENIER_(MARS),49.83,-64.30,23,10,,,,21,'CWBY 041600Z AUTO 09009KT M05/M06 RMK AO1 SOG 22 8035 SLP192 T10521062 50004'
20180104,1600,CWCJ,PUKASKWA_PARK,48.60,-86.30,-18,7,,,,-25,'CWCJ 041600Z AUTO 04006KT M28/M32 RMK AO1 SOG 22 0003 SLP308 T12761316'
20180104,1600,CWCO,COLLINGWOOD_(AUT8),44.50,-80.22,8,22,30,30,30,5,'CWCO 041600Z AUTO 33019G26KT M13/M15 RMK AO1 3PAST HR 8002 PK WND 32026/1546 SLP155 P0001 T11311148 50003'
20180104,1600,CWDQ,LA_TUQUE,47.42,-72.80,12,6,,,,9,'CWDQ 041600Z AUTO 34005KT M11/M13 RMK AO1 0PAST HR SOG 35 8019 SLP128 P0004 T11121129 50010'
20180104,1600,CWDT,CHUTE_DES_PASSES,49.83,-71.16,4,5,,,,-1,'CWDT 041600Z AUTO 10004KT M15/M18 RMK AO1 SLP168 T11531184 58014'
20180104,1600,CWDV,UPSALA_(MARS),49.03,-90.47,-20,2,,,,-26,'CWDV 041600Z AUTO 33002KT M29/M32 RMK AO1 7PAST HR SOG 21 3005 SLP332 P0003 T12891324 50007'
20180104,1600,CWEF,ST._PAUL_ISL(MAPS),47.23,-60.13,32,38,46,46,46,29,'CWEF 041600Z AUTO 12033G40KT 00/M02 RMK AO1 PRESFR PK WND 13040/1556 SLP198 T00001015 58075'
20180104,1600,CWEP,EAST_POINT_(MARS),46.45,-61.97,34,25,31,31,31,30,'CWEP 041600Z AUTO 11022G27KT 01/M01 RMK AO1 PRESFR SOG 05 6066 PK WND 11027/1558 SLP166 T00131013'
20180104,1600,CWER,ILE_D'ORLEANS(AUT),47.00,-70.82,,25,31,31,31,-9999,'CWER 041600Z AUTO 05022G27KT RMK AO1 PK WND 04027/1556'
20180104,1600,CWEW,L'ASSOMPTION,45.82,-73.43,15,7,,,,10,'CWEW 041600Z AUTO 02006KT M09/M12 RMK AO1 SOG 22 6033 SLP113 T10931124'
